HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.field1,Answer.field2,Approve,Reject
3E6L1VR4XWH0QRJO2EXXYUG45H96F1,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,34T446B1C191VOBTZPWH57GRI2UC0N,A36UM1HNONFW1P,Approved,Mon Dec 05 19:39:52 PST 2016,Mon Dec 05 19:46:14 PST 2016,Thu Dec 08 19:46:14 PST 2016,Mon Dec 05 19:47:31 PST 2016,,,382,100% (8/8),0% (0/0),0% (0/0),http://www.breezetree.com/flow-charts/basic-flowchart.png,"Irregular: Start
Rectangle: Process step 1
Irregular: Decision?
Rectangle: Process step 2
Rectangle: Process step 3
Rectangle: Process step 4
Rectangle: Process step 5
Rectangle: Process step 6
Irregular: End","Start, Null, Process step 1
Process step 1, Null, Decision?
Decision?, Choice 2, Process step 1
Decision?, Choice 1, Process step 2
Process step 2, Null, Process step 3
Process step 3, Null, Process step 4
Process step 4, Null, Process step 5
Process step 5, Null, Process step 6
Process step 6, Null, End",,
3UY4PIS8QRGH7XV8UW4TB3YWZXF1N5,3VKSEF3049T1QZJ9S55AHE8CAVD0N7,Translate a flowchart,"Write the shapes along with words (e.g., rectangle: process one)  and relation triplets (e.g., process one, null, process two)","flowchart, write, transcription",$0.20,Mon Dec 05 16:49:21 PST 2016,1,BatchId:2620054;,1800,259200,Wed Jan 04 16:49:21 PST 2017,,,3MRNMEIQW61OXC6TOEDBNXQX60FLD3,AO67HSBHKPIHX,Approved,Mon Dec 05 19:03:48 PST 2016,Mon Dec 05 19:18:16 PST 2016,Thu Dec 08 19:18:16 PST 2016,Mon Dec 05 19:29:35 PST 2016,,,868,100% (8/8),0% (0/0),0% (0/0),http://mr.fabroa.com/wp-content/uploads/2010/12/Flowchartsv2.png,"Enter text here...oval:start or end of a process.
Parallelograms:input data(set birth year)
Parallelograms :input data(set current year)
 Rectangles, which show instructions or actions(age=current year-birth year)
Parallelograms, which show input and output.(display age)
 Diamonds,  where we must make a decision.if age>18 print adult if no end.","Enter text here..:start or end of a process.
input data(set birth year)
input data(set current year)
age=current year-birth year
(display age)
if age>18 print adult if no end.",,
